Algorithm,Function,D2_Ideal,D2_Best Fitness,D2_Mean Fitness,D2_Worst Fitness,D2_Std Dev,D2_SEM,D2_Success Rate,D10_Ideal,D10_Best Fitness,D10_Mean Fitness,D10_Worst Fitness,D10_Std Dev,D10_SEM,D10_Success Rate
rao1,F1,1.000000e+02,1.000020e+02,1.000677e+02,1.002726e+02,7.059264e-02,1.288839e-02,16.7%,1.000000e+02,6.178653e+03,1.620725e+05,5.592314e+05,1.430967e+05,2.612576e+04,0.0%
rao1,F3,3.000000e+02,3.000000e+02,3.000000e+02,3.000000e+02,2.729707e-09,4.983740e-10,100.0%,3.000000e+02,3.000000e+02,3.000000e+02,3.000000e+02,1.232816e-09,2.250804e-10,100.0%
rao1,F4,4.000000e+02,4.000000e+02,4.000000e+02,4.000000e+02,2.685497e-09,4.903025e-10,100.0%,4.000000e+02,4.002463e+02,4.008605e+02,4.032313e+02,8.443789e-01,1.541618e-01,0.0%
rao1,F5,5.000000e+02,5.000000e+02,5.000000e+02,5.000000e+02,3.061281e-09,5.589109e-10,100.0%,5.000000e+02,5.164418e+02,5.243226e+02,5.342788e+02,4.352667e+00,7.946846e-01,0.0%
rao1,F6,6.000000e+02,6.000000e+02,6.000000e+02,6.000000e+02,2.189707e-09,3.997840e-10,100.0%,6.000000e+02,6.000000e+02,6.000000e+02,6.000001e+02,1.479096e-05,2.700447e-06,100.0%
rao1,F7,7.000000e+02,7.000000e+02,7.000861e+02,7.020388e+02,3.632169e-01,6.631404e-02,43.3%,7.000000e+02,7.174953e+02,7.381023e+02,7.558865e+02,8.568308e+00,1.564352e+00,0.0%
rao1,F8,8.000000e+02,8.000000e+02,8.000000e+02,8.000000e+02,3.100691e-09,5.661062e-10,100.0%,8.000000e+02,8.168889e+02,8.258871e+02,8.344812e+02,4.820538e+00,8.801057e-01,0.0%
rao1,F9,9.000000e+02,9.000000e+02,9.000000e+02,9.000000e+02,2.681874e-09,4.896409e-10,100.0%,9.000000e+02,9.000000e+02,9.000000e+02,9.000000e+02,1.060488e-09,1.936178e-10,100.0%
rao1,F10,1.000000e+03,1.000000e+03,1.000001e+03,1.000004e+03,1.034437e-03,1.888615e-04,100.0%,1.000000e+03,1.237262e+03,1.751731e+03,2.310566e+03,2.379955e+02,4.345183e+01,0.0%
rao1,F11,—,—,—,—,—,—,—,1.100000e+03,1.102836e+03,1.107434e+03,1.120832e+03,4.025495e+00,7.349515e-01,0.0%
rao1,F12,—,—,—,—,—,—,—,1.200000e+03,6.452303e+04,1.323004e+06,5.224660e+06,1.301528e+06,2.376255e+05,0.0%
rao1,F13,—,—,—,—,—,—,—,1.300000e+03,1.752887e+03,2.942800e+03,7.313888e+03,1.090558e+03,1.991078e+02,0.0%
rao1,F14,—,—,—,—,—,—,—,1.400000e+03,1.446729e+03,1.471814e+03,1.525343e+03,1.536827e+01,2.805850e+00,0.0%
rao1,F15,—,—,—,—,—,—,—,1.500000e+03,1.546406e+03,1.585952e+03,1.725958e+03,3.664055e+01,6.689619e+00,0.0%
rao1,F16,—,—,—,—,—,—,—,1.600000e+03,1.603868e+03,1.622747e+03,1.764855e+03,2.774236e+01,5.065039e+00,0.0%
rao1,F17,—,—,—,—,—,—,—,1.700000e+03,1.717151e+03,1.730718e+03,1.745117e+03,5.305175e+00,9.685880e-01,0.0%
rao1,F18,—,—,—,—,—,—,—,1.800000e+03,2.371945e+03,6.284384e+03,1.822482e+04,3.503108e+03,6.395770e+02,0.0%
rao1,F19,—,—,—,—,—,—,—,1.900000e+03,1.915328e+03,1.938402e+03,1.992491e+03,1.467969e+01,2.680132e+00,0.0%
rao1,F20,—,—,—,—,—,—,—,2.000000e+03,2.008377e+03,2.025160e+03,2.031753e+03,5.591070e+00,1.020785e+00,0.0%
rao1,F21,2.100000e+03,2.100000e+03,2.100000e+03,2.100000e+03,1.567127e-09,2.861169e-10,100.0%,2.100000e+03,2.211590e+03,2.316764e+03,2.334063e+03,3.323992e+01,6.068752e+00,0.0%
rao1,F22,2.200000e+03,2.200000e+03,2.200000e+03,2.200000e+03,2.674963e-09,4.883792e-10,100.0%,2.200000e+03,2.200000e+03,2.281602e+03,2.304012e+03,3.725707e+01,6.802178e+00,3.3%
rao1,F23,2.300000e+03,2.300000e+03,2.300000e+03,2.300000e+03,2.269415e-09,4.143366e-10,100.0%,2.300000e+03,2.615867e+03,2.624167e+03,2.631728e+03,3.468525e+00,6.332631e-01,0.0%
rao1,F24,2.400000e+03,2.400000e+03,2.400000e+03,2.400000e+03,2.377302e-09,4.340341e-10,100.0%,2.400000e+03,2.400000e+03,2.732492e+03,2.760013e+03,7.671281e+01,1.400578e+01,3.3%
rao1,F25,2.500000e+03,2.500000e+03,2.500061e+03,2.501824e+03,3.274317e-01,5.978058e-02,96.7%,2.500000e+03,2.897743e+03,2.906434e+03,2.946652e+03,1.738106e+01,3.173332e+00,0.0%
rao1,F26,2.600000e+03,2.600000e+03,2.600000e+03,2.600000e+03,2.507375e-09,4.577820e-10,100.0%,2.600000e+03,2.900000e+03,2.900000e+03,2.900000e+03,5.752150e-13,1.050194e-13,0.0%
rao1,F27,2.700000e+03,2.700000e+03,2.700000e+03,2.700000e+03,1.026975e-04,1.874992e-05,100.0%,2.700000e+03,3.087883e+03,3.090153e+03,3.092492e+03,1.084316e+00,1.979681e-01,0.0%
rao1,F28,2.800000e+03,2.800000e+03,2.857000e+03,2.900000e+03,4.629985e+01,8.453157e+00,20.0%,2.800000e+03,3.100000e+03,3.260961e+03,3.411822e+03,1.444549e+02,2.637373e+01,0.0%
rao1,F29,2.900000e+03,3.000000e+03,4.934644e+03,1.452769e+04,2.989493e+03,5.458043e+02,0.0%,2.900000e+03,3.791503e+03,1.133073e+04,3.770450e+04,8.314929e+03,1.518091e+03,0.0%
rao1,F30,3.000000e+03,3.396806e+03,3.396817e+03,3.396948e+03,3.097364e-02,5.654987e-03,0.0%,3.000000e+03,3.230367e+03,3.245602e+03,3.261976e+03,9.003068e+00,1.643728e+00,0.0%
